#{"t_start": 1705265892.0710604, "env_id": "CurvyRaceEnv-v0"}
r,l,t
2197.959805,51,700.606503
2199.17761,53,701.794024
2195.70651,53,702.87195
2199.943982,48,703.914346
2200.162851,50,704.925715
2198.969741,48,705.968611
2198.55656,48,707.022517
2197.528348,49,708.198027
2200.362234,48,709.277454
2197.777303,49,710.425941
2198.374523,50,711.583436
2198.911297,47,712.671371
2200.075644,49,713.767813
2195.847072,48,714.887275
2198.56577,49,715.990222
2196.650192,48,717.106181
2198.323917,47,718.172598
2201.047534,48,719.296062
2200.505216,50,720.501599
2199.026553,49,721.613554
2200.887133,49,722.728012
2200.244292,50,723.879501
2199.023168,47,724.932406
2199.214835,49,726.017338
2199.569236,48,727.153815
2199.347229,49,728.276779
2199.352735,49,729.411255
2198.903232,51,730.576756
2198.853398,47,731.696218
2200.077461,49,732.883238
2199.482448,50,734.018213
2200.763604,48,735.099642
2198.422973,48,736.200088
2198.787175,46,737.242984
2200.889881,47,738.323412
2200.13188,49,739.41435
2197.548469,49,740.547323
2199.654649,49,741.728839
2198.309484,47,742.826281
2200.331499,49,743.956253
2199.129356,49,745.125757
2199.634994,48,746.185167
2198.966158,45,747.190031
2198.392374,48,748.289976
2199.238109,46,749.307851
2198.938418,48,750.408798
2199.47048,46,751.4602
2199.584123,47,752.572656
2202.422349,49,753.702627
2198.190802,50,754.895652
2198.658817,48,756.001603
2200.261016,48,757.1631
2199.604025,47,758.214504
2201.721244,49,759.330463
2199.098096,47,760.395879
2202.011434,50,761.518843
2198.435343,49,762.647813
2200.084191,47,763.741753
2196.676976,46,764.822182
2201.83684,50,765.938641
2200.818091,46,767.009061
2199.452244,48,768.100998
2199.086812,48,769.182428
2201.230236,48,770.297386
2197.833016,46,771.340783
2198.80832,48,772.432721
2200.015721,48,773.546178
2199.605085,46,774.634113
2199.629819,48,775.750072
2200.867381,48,776.887549
2199.156321,48,778.012015
2198.980151,47,779.131978
2200.716295,48,780.203898
2198.85749,46,781.272817
2200.02964,45,782.347741
2199.190797,48,783.454192
2201.158593,48,784.516604
2200.907201,49,785.660087
2201.087687,48,786.733509
2199.181834,48,787.89851
2201.072911,48,788.966928
2200.323564,48,790.081886
2198.660284,47,791.130788
2200.778501,47,792.161173
2199.122641,48,793.247106
2199.534007,45,794.260477
2199.174904,48,795.34691
2200.451573,46,796.40532
2199.952587,46,797.502763
2200.121238,47,798.609714
2201.385809,48,799.737183
2199.679615,48,800.854642
2200.441994,48,801.969601
2200.998345,49,803.075551
2201.3774,49,804.189509
2200.495718,47,805.260429
2198.63212,49,806.409917
2201.160824,49,807.544892
2200.394216,48,808.633327
2200.977238,50,809.802331
2200.802975,47,810.869248
2200.122305,48,812.014232
2199.914064,46,813.274815
2199.798828,49,814.64249
2200.347351,46,815.640348
2198.003774,48,816.906435
2200.209663,49,818.161013
2200.106297,49,819.32051
2200.061587,48,820.336883
2199.954244,48,821.646008
2199.110975,50,822.746954
2200.836941,47,823.837391
2199.562909,47,824.876784
2198.380606,47,825.951708
2200.919297,47,826.991601
2201.283655,48,828.28221
2200.634559,47,829.500757
2200.921426,47,830.712799
2199.152957,46,831.841769
2199.456255,46,833.18192
2201.434206,46,834.231823
2201.008954,46,835.249197
2205.480415,81,837.328484
2200.499772,48,838.548032
2200.335664,49,839.782592
2200.016974,47,841.032167
2201.450149,48,842.285243
2198.276857,47,843.321132
2201.03354,48,844.433088
2199.189958,46,845.532032
2198.544709,47,846.648992
2197.643305,47,847.780965
2198.31211,47,849.006518
2200.874242,47,850.373693
2199.489199,46,851.602248
2200.274966,47,852.850321
2201.722981,47,854.103398
2199.876194,46,855.356975
2226.395885,93,857.497815
2202.674106,49,858.701849
2201.78587,47,859.85684
2202.580834,46,860.93777
2199.973827,45,862.067741
2199.071423,48,863.301801
2201.600464,47,864.438779
201.432323,100,866.927416
2199.165636,47,868.086413
2199.521031,47,869.298454
2197.690555,51,870.613584
2200.957182,48,871.778585
2199.763849,47,872.915562
2199.598801,49,874.134109
2199.094115,48,875.305616
2198.863288,48,876.49814
2197.734576,46,877.612098
2197.822005,48,878.787107
2197.691299,49,879.959114
2197.014448,47,881.108102
2199.348597,49,882.272602
2199.308541,49,883.51567
2199.598509,47,884.627126
2201.680432,46,885.748089
2201.109022,49,886.916592
2198.733446,50,888.155157
2197.656229,48,889.3692
2198.814571,47,890.549715
2198.478544,46,891.688693
2198.331209,48,892.926756
2196.806693,47,894.044217
2201.151007,48,895.219227
2200.407588,47,896.454288
2197.142582,46,897.599772
2197.985817,48,898.750761
2199.154509,47,899.915262
2199.180305,49,901.096276
2199.34513,48,902.277792
2197.470712,47,903.42728
2197.964484,46,904.580271
2201.447763,47,905.676212
2198.13893,46,906.777158
2200.234951,47,907.913134
2199.611989,47,909.06062
2197.844536,47,910.244137
2198.072168,50,911.466187
2200.203489,46,912.632189
2199.420035,49,913.841728
2198.644219,45,915.003727
2199.414767,46,916.115682
2197.854926,47,917.295195
2202.214264,49,918.465701
2199.272413,47,919.624197
2200.354372,48,920.787697
2199.878785,46,921.937185
2199.11569,46,923.134713
2198.067656,47,924.269689
2200.517125,48,925.37664
2199.92396,47,926.523626
2197.554415,46,927.62307
2197.977313,47,928.760047
2201.201608,49,929.922546
2200.971153,47,931.05602
2199.412161,47,932.287578
2198.663966,48,933.472096
2198.935131,47,934.66312
2199.168382,46,935.809604
2200.838374,47,936.948583
2200.441483,48,938.140608
2199.831731,47,939.264073
2198.219476,47,940.419065
2199.702111,47,941.523013
2201.644924,49,942.755071
98.914764,100,945.163142
2200.40288,46,946.314631
2199.929679,48,947.497648
2199.088705,49,948.649137
2202.112433,47,949.800627
2201.722674,47,950.885058
2200.330345,47,952.041552
2201.203056,47,953.166019
2202.063089,47,954.316507
2199.660849,46,955.456987
2199.741742,47,956.609477
2200.643865,48,957.805005
2201.095352,47,958.982516
2199.556005,46,960.111987
2198.324184,47,961.236453
2199.935095,48,962.39695
2198.336042,47,963.503901
2200.357014,47,964.741965
2198.543999,46,965.824395
2199.671355,47,966.969879
2198.591883,49,968.132879
2200.79887,47,969.29788
2198.567999,46,970.46188
2198.627632,46,971.595854
2199.922277,48,972.761356
2198.02777,45,973.897846
2200.233602,48,975.031306
2198.340095,46,976.223331
2199.820811,46,977.357305
2200.847181,47,978.542824
2200.489503,49,979.837937
2199.583923,47,981.144059
2198.673606,48,982.387628
2197.559325,47,983.585657
2199.258229,48,984.816714
2200.99203,47,986.019748
2200.235466,49,987.231289
2201.008448,48,988.45384
2198.595312,48,989.612335
2200.819544,49,990.766827
2198.450416,47,991.984874
2199.948289,46,993.124853
2200.440232,47,994.300864
2200.13688,47,995.393803
2201.490449,47,996.486242
2198.700283,46,997.641234
2199.780457,48,998.81174
2197.953427,50,1000.058311
2199.519651,48,1001.230318
2199.622338,47,1002.490901
